Genetic Algorithm

Error results
---------------------------
785.907, 60.20430341230168%
596.738, 54.053466637687464%
774.334, 60.29124103455771%
867.960, 44.512062595088025%
819.926, 40.77374483807868%
967.444, 42.09954357748315%
672.902, 52.11910454249077%
741.329, 60.5520539013258%
638.191, 47.467941751793084%
633.440, 59.85655292327755%
777.285, 40.73027602695066%
848.733, 40.05650945446642%
615.383, 48.098239513149316%
690.262, 56.4007824386003%
1052.593, 40.925885677026734%
918.803, 43.903499239295805%
632.349, 59.813084112149525%
566.769, 59.72614648989351%
594.664, 59.37839600086937%
651.443, 60.312975440121704%
811.002, 40.425994349054555%
783.406, 39.94783742664638%
922.059, 40.66507281025864%
825.109, 42.143012388611176%
751.023, 60.03042816778961%
623.092, 57.183221038904584%
613.151, 45.120625950880246%
840.765, 41.664855466203%
661.171, 60.443381873505764%
605.218, 57.90045642251685%
646.596, 43.381873505759614%
652.959, 59.22625516192133%
547.699, 61.05194522929798%
676.999, 44.446859378396006%
900.466, 42.59943490545533%
578.882, 50.88024342534232%
708.661, 56.81373614431645%
698.638, 60.48685068463377%
625.683, 50.18474244729406%
710.842, 59.313192784177346%
797.980, 58.487285372745056%
715.705, 43.01238861117149%
629.985, 55.48793740491198%
509.142, 70.09345794392523%
768.489, 57.204955444468595%
571.271, 58.443816561617034%
750.069, 43.75135840034775%
699.697, 43.3384046946316%
509.391, 64.50771571397522%
545.217, 59.85655292327755%
566.274, 57.81351880026081%
641.881, 43.12106063899152%
894.761, 43.3384046946316%
579.697, 53.3144968485112%
775.847, 60.48685068463377%
700.793, 43.838296022603785%
571.031, 57.204955444468595%
669.277, 60.11736579004564%
610.629, 58.26994131710498%
670.378, 60.07389697891763%
863.607, 60.42164746794175%
605.512, 48.598130841121495%
562.523, 59.313192784177346%
846.849, 42.708106933275374%
722.267, 44.164312106063896%
602.768, 60.20430341230168%
552.077, 59.79134970658553%
551.550, 60.22603781786569%
720.885, 59.834818517713536%
537.444, 60.29124103455771%
515.055, 60.66072592914584%
666.490, 60.29124103455771%
592.575, 57.81351880026081%
718.370, 60.378178656813745%
502.010, 66.28993697022386%
649.757, 59.55227124538144%
556.404, 60.33470984568572%
783.188, 60.46511627906976%
613.680, 42.94718539447946%
628.859, 59.813084112149525%
562.011, 57.118017822212565%
669.098, 60.269506628993696%
610.922, 47.01151923494892%
571.610, 59.400130406433384%
708.225, 58.59595740056509%
668.545, 60.09563138448163%
638.435, 59.53053683981743%
1097.442, 42.57770049989133%
691.802, 60.57378830688981%
770.266, 39.1653988263421%
679.051, 50.728102586394265%
583.817, 49.271897413605735%
684.581, 60.59552271245382%
602.831, 59.76961530102152%
789.950, 60.443381873505764%
583.680, 49.032818952401655%
513.919, 66.48554662029994%
597.065, 55.8574222995001%
532.431, 63.529667463594876%
548.307, 58.70462942838513%
743.146, 60.33470984568572%
915.267, 42.2299500108672%
665.673, 57.943925233644855%
553.833, 55.400999782655944%
665.703, 42.36035644425125%
731.444, 59.61747446207346%
557.096, 59.55227124538144%
554.747, 54.57509237122365%
604.424, 55.87915670506411%
652.112, 45.20756357313627%
689.742, 59.96522495109758%
803.082, 60.57378830688981%
958.258, 40.752010432514666%
523.839, 61.790915018474244%
605.987, 61.095414040426%
727.453, 46.07693979569659%
765.864, 43.86003042816779%
608.918, 59.921756139969574%
830.090, 60.378178656813745%
564.907, 52.85807433166703%
559.920, 57.009345794392516%
852.983, 43.75135840034775%
729.815, 43.903499239295805%
540.872, 57.42229950010868%
687.212, 41.75179308845903%
663.401, 44.425124972831995%
667.140, 60.03042816778961%
673.155, 59.76961530102152%
892.889, 42.33862203868724%
838.127, 42.708106933275374%
548.755, 59.26972397304934%
564.653, 56.50945446642034%
662.694, 60.20430341230168%
573.604, 52.96674635948707%
561.588, 53.292762442947186%
527.797, 62.35600956313845%
532.579, 60.48685068463377%
608.074, 44.83807867854814%
501.504, 64.50771571397522%
575.405, 58.900239078461205%
617.973, 58.42208215605304%
720.163, 60.11736579004564%
562.819, 59.22625516192133%
617.287, 59.18278635079331%
651.275, 60.22603781786569%
577.817, 60.96500760704194%
552.512, 59.29145837861335%
889.687, 40.09997826559444%
767.239, 60.57378830688981%
670.138, 45.707454901108456%
511.717, 62.486415996522496%
507.130, 66.02912410345577%
564.015, 59.87828732884155%
612.742, 60.312975440121704%
588.395, 60.5520539013258%
695.713, 60.46511627906976%
621.567, 42.642903716583355%
550.179, 56.22690719408824%
890.721, 43.316670289067595%
634.632, 60.53031949576179%
478.378, 69.63703542708107%
543.772, 60.48685068463377%
466.970, 72.7885242338622%
698.406, 60.008693762225604%
519.465, 60.50858509019778%
508.839, 68.98500326016084%
615.256, 60.182569006737666%
559.228, 60.5520539013258%
541.490, 58.53075418387307%
517.502, 61.92132145185829%
627.283, 49.793523147141926%
490.039, 65.31188871984351%
516.579, 63.877417952619%
689.270, 60.46511627906976%
607.327, 60.53031949576179%
1037.507, 43.62095196696371%
745.249, 45.92479895674853%
556.384, 53.857856987611385%
514.276, 63.42099543577483%
569.860, 57.33536187785264%
645.531, 60.42164746794175%
515.157, 64.87720060856336%
598.745, 52.14083894805477%
487.003, 63.529667463594876%
484.287, 64.52945011953923%
567.141, 58.400347750489026%
554.813, 53.531840904151274%
483.746, 68.96326885459683%
576.468, 60.39991306237774%
485.579, 64.94240382525538%
546.048, 62.312540752010435%
693.832, 62.464681590958484%
492.771, 64.89893501412737%
536.514, 59.66094327320148%
555.839, 59.79134970658553%
649.113, 49.771788741577915%
629.244, 60.312975440121704%
448.725, 73.28841556183438%
